"Player","            ","Team","Score (Equal Weight S:P)","Equal Weight Ranking","Score (Weighted by S:P Ratio)","Ratio Ranking","Total Rushes Faced"
"Alejandro Villanueva","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/ravens.png""  height=""30""></img>'","BAL",0.312,29,0.325,18,127
"Alex Bars","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bears.png"" height=""30"" ></img>'","CHI",-2.606,108,-1.437,107,10
"Alex Leatherwood","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/raiders.png""  height=""30""></img>'","LV",-0.015,59,-0.003,54,80
"Andre Dillard","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/eagles.png""  height=""30""></img>'","PHI",0.489,22,0.26,24,67
"Andrew Thomas","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/giants.png""  height=""30""></img>'","NYG",-0.612,88,-0.14,73,92
"Andrew Whitworth","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/rams.png""  height=""30""></img>'","LA",-0.139,70,0.202,27,102
"Austin Jackson","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/dolphins.png""  height=""30""></img>'","MIA",0.652,13,0.435,13,74
"Billy Turner","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/packers.png""  height=""30""></img>'","GB",0.944,7,0.242,25,83
"Blake Hance","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/browns.png""  height=""30""></img>'","CLE",0.085,48,-0.117,71,49
"Bobby Hart","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/titans.png""  height=""30""></img>'","TEN",-0.633,89,-0.338,89,12
"Bobby Massie","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/broncos.png"" height=""30""></img>'","DEN",-0.095,66,0,52,116
"Braden Smith","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/colts.png"" height=""30"" ></img>'","IND",1.159,5,0.625,5,23
"Brady Christensen","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/panthers.png""  height=""30""></img>'","CAR",0.41,26,0.469,8,35
"Brandon Parker","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/raiders.png""  height=""30""></img>'","LV",-0.125,67,0.014,49,49
"Brandon Shell","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/seahawks.png""  height=""30""></img>'","SEA",0.425,24,0.2,28,56
"Brian O'Neill","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/vikings.png""  height=""30"" ></img>'","MIN",0.113,44,0.002,51,116
"Bryan Bulaga","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/chargers.png""  height=""30""></img>'","LAC",0.916,8,0.427,14,14
"Cam Robinson","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/jags.png""  height=""30""></img>'","JAX",-0.137,69,-0.207,77,106
"Cameron Erving","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/panthers.png""  height=""30""></img>'","CAR",0.257,35,0.281,22,95
"Charles Leno","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/commanders.png"" height=""30"" ></img>'","WAS",0.521,20,0.275,23,117
"Charlie Heck","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/texans.png""  height=""30""></img>'","HOU",-0.707,94,-0.305,86,37
"Christian Darrisaw","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/vikings.png""  height=""30"" ></img>'","MIN",-2.415,107,-1.518,108,32
"Christopher Hubbard","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/browns.png""  height=""30""></img>'","CLE",-0.365,79,-0.176,75,10
"Chukwuma Okorafor","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/steelers.png""  height=""30""></img>'","PIT",0.228,38,-0.052,61,71
"Cornelius Lucas","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/commanders.png"" height=""30"" ></img>'","WAS",1.203,4,0.462,10,45
"D.J. Humphries","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/cardinals.png"" height=""30"" ></img>'","ARI",-0.562,86,-0.275,84,103
"Dan Moore","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/steelers.png""  height=""30""></img>'","PIT",0.549,18,0.402,15,112
"Daryl Williams","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bills.png"" height=""30"" ></img>'","BUF",-0.128,68,-0.057,64,56
"David Quessenberry","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/titans.png""  height=""30""></img>'","TEN",0.024,56,0.113,38,113
"Dion Dawkins","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bills.png"" height=""30"" ></img>'","BUF",0.095,46,-0.012,56,113
"Donovan Smith","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bucs.png"" height=""30"" ></img>'","TB",0.282,32,0.078,40,173
"Duane Brown","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/seahawks.png""  height=""30""></img>'","SEA",0.297,30,-0.016,57,87
"Elgton Jenkins","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/packers.png""  height=""30""></img>'","GB",-0.357,78,-0.161,74,45
"Elijah Wilkinson","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bears.png"" height=""30"" ></img>'","CHI",0.002,57,-0.071,66,27
"Eric Fisher","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/colts.png"" height=""30"" ></img>'","IND",-0.688,93,-0.292,85,84
"Garett Bolles","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/broncos.png"" height=""30""></img>'","DEN",-0.038,60,0.051,47,126
"George Fant","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/jets.png""  height=""30""></img>'","NYJ",0.14,41,-0.224,80,100
"Germain Ifedi","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bears.png"" height=""30"" ></img>'","CHI",-0.346,76,-0.104,68,57
"Geron Christian","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/texans.png""  height=""30""></img>'","HOU",-0.827,99,-0.423,97,50
"Isaiah Wynn","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/pats.png""  height=""30""></img>'","NE",0.078,50,-0.334,88,129
"Jack Conklin","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/browns.png""  height=""30""></img>'","CLE",-0.515,83,-0.203,76,48
"Jack Driscoll","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/eagles.png""  height=""30""></img>'","PHI",1.949,2,0.99,2,15
"Jake Matthews","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/falcons.png""  height=""30""></img>'","ATL",-0.736,96,-0.438,100,154
"James Hudson","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/browns.png""  height=""30""></img>'","CLE",-1.162,105,-0.567,103,29
"James Hurst","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/saints.png""  height=""30""></img>'","NO",0.063,51,0.152,36,43
"Jason Peters","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bears.png"" height=""30"" ></img>'","CHI",0.117,43,0.19,30,82
"Jawaan Taylor","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/jags.png""  height=""30""></img>'","JAX",0.055,53,0.053,46,97
"Jaylon Moore","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/49ers.png"" height=""35""></img>'","SF",-0.634,90,-0.464,101,18
"Jedrick Wills","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/browns.png""  height=""30""></img>'","CLE",-0.077,63,-0.109,69,53
"Jesse Davis","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/dolphins.png""  height=""30""></img>'","MIA",0.898,9,0.442,12,76
"Joe Haeg","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/steelers.png""  height=""30""></img>'","PIT",0.125,42,0.069,43,43
"Jonah Williams","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bengals.png"" height=""30""></img>'","CIN",0.258,34,0.071,42,132
"Jordan Mailata","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/eagles.png""  height=""30""></img>'","PHI",0.28,33,-0.055,63,68
"Josh Jones","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/cardinals.png"" height=""30"" ></img>'","ARI",-1.026,103,-0.388,92,29
"Julien Davenport","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/colts.png"" height=""30"" ></img>'","IND",0.321,28,0.3,20,62
"Justin Herron","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/pats.png""  height=""30""></img>'","NE",-0.653,91,-0.338,90,96
"Justin Murray","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/cardinals.png"" height=""30"" ></img>'","ARI",-0.547,84,-0.211,78,18
