team,link
SF,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/49ers.png"" ></img>'"
CHI,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bears.png"" ></img>'"
CIN,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bengals.png"" ></img>'"
BUF,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bills.png"" ></img>'"
DEN,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/broncos.png"" ></img>'"
CLE,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/browns.png"" ></img>'"
TB,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bucs.png"" ></img>'"
ARI,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/cardinals.png"" ></img>'"
LAC,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/chargers.png"" ></img>'"
KC,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/chiefs.png"" ></img>'"
IND,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/colts.png"" ></img>'"
WAS,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/commanders.png"" ></img>'"
DAL,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/cowboys.png"" ></img>'"
MIA,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/dolphins.png"" ></img>'"
PHI,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/eagles.png"" ></img>'"
ATL,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/falcons.png"" ></img>'"
NYG,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/giants.png"" ></img>'"
JAX,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/jags.png"" ></img>'"
NYJ,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/jets.png"" ></img>'"
DET,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/lions.png"" ></img>'"
GB,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/packers.png"" ></img>'"
CAR,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/panthers.png"" ></img>'"
NE,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/pats.png"" ></img>'"
LV,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/raiders.png"" ></img>'"
LA,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/rams.png"" ></img>'"
BAL,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/ravens.png"" ></img>'"
NO,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/saints.png"" ></img>'"
SEA,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/seahawks.png"" ></img>'"
PIT,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/steelers.png"" ></img>'"
HOU,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/texans.png"" ></img>'"
TEN,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/titans.png"" ></img>'"
MIN,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/vikings.png"" ></img>'"
