mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,tackle_name
0.62214,8.63985,-17.86875,13.99097,3.63994,2.72024,5.98051,22.52005,1.92388,Alejandro Villanueva
0.15361,8.64714,-18.19264,13.6614,3.64232,2.72196,5.97984,22.32612,1.91114,Alex Bars
0.68625,8.64001,-17.73795,14.10295,3.63946,2.71984,5.98531,22.58634,1.92026,Alex Leatherwood
0.79528,8.64034,-17.8877,13.93136,3.64038,2.72059,5.98116,22.4,1.92246,Andre Dillard
0.3925,8.64178,-17.96704,13.91308,3.64147,2.72145,5.97596,22.26041,1.92682,Andrew Thomas
0.421,8.64047,-18.46932,13.39862,3.6401,2.72035,5.97907,22.50859,1.92501,Andrew Whitworth
0.75664,8.64148,-17.91998,13.89645,3.64045,2.72061,5.98081,22.38305,1.9194,Austin Jackson
1.10911,8.64225,-17.70069,14.161,3.64095,2.721,5.97978,22.34214,1.92351,Billy Turner
0.84563,8.64275,-17.82197,14.03017,3.64147,2.72141,5.97709,22.51394,1.92425,Blake Hance
0.54821,8.64105,-18.00676,13.79047,3.64108,2.72115,5.97796,22.49916,1.92034,Bobby Hart
0.64812,8.64295,-18.01383,13.8247,3.64141,2.72135,5.98218,22.38676,1.92107,Bobby Massie
0.93727,8.64607,-18.00431,13.88091,3.64313,2.72268,5.97893,22.18308,1.91947,Braden Smith
0.56154,8.64434,-17.90555,13.93526,3.64158,2.72144,5.97927,21.97279,1.92474,Brady Christensen
0.59031,8.64464,-17.95099,13.83982,3.64161,2.72146,5.98239,22.33195,1.9235,Brandon Parker
0.79324,8.64245,-17.87554,13.98515,3.6416,2.72153,5.97797,22.12011,1.9251,Brandon Shell
0.75366,8.64044,-17.81017,14.02389,3.64056,2.72073,5.97834,22.23629,1.92275,Brian O'Neill
0.80553,8.64273,-17.76429,14.05659,3.64105,2.72106,5.98173,22.50835,1.92146,Cam Robinson
0.5658,8.64193,-18.15276,13.70088,3.64118,2.7212,5.9785,22.44909,1.92964,Cameron Erving
0.80607,8.64115,-17.84493,13.96224,3.64094,2.72103,5.97813,22.62715,1.92323,Charles Leno
0.4682,8.64144,-17.88244,13.93871,3.64045,2.72061,5.97944,22.75026,1.91926,Charlie Heck
0.35587,8.64204,-18.03879,13.80947,3.64112,2.72115,5.98013,22.81365,1.91749,Christian Darrisaw
0.593,8.6397,-18.05248,13.77737,3.64014,2.72041,5.97245,22.12074,1.92049,Christopher Hubbard
0.88567,8.63643,-17.60188,14.23089,3.63898,2.71956,5.97806,22.28982,1.92216,Chukwuma Okorafor
1.108,8.6419,-17.50707,14.33017,3.64074,2.72083,5.98343,22.25342,1.92369,Cornelius Lucas
0.52285,8.6417,-18.14147,13.6963,3.64129,2.7213,5.97592,22.6864,1.92311,D.J. Humphries
0.73757,8.64073,-18.02689,13.80662,3.64039,2.72058,5.9767,22.47427,1.92113,Dan Moore
0.64692,8.64321,-18.09665,13.73969,3.64142,2.72135,5.98107,22.30197,1.9288,Daryl Williams
0.67737,8.64278,-17.73277,14.10173,3.64129,2.72126,5.97998,22.85236,1.9205,David Quessenberry
0.71086,8.64144,-18.03536,13.79939,3.641,2.72107,5.9753,22.55044,1.92784,Dion Dawkins
0.80544,8.64131,-18.05326,13.80087,3.64065,2.72078,5.97943,22.58625,1.92487,Donovan Smith
0.89685,8.64256,-17.89106,13.94749,3.64117,2.72117,5.97828,22.15767,1.91825,Duane Brown
0.58279,8.64506,-18.30916,13.56415,3.64213,2.72187,5.97677,22.45836,1.92304,Elgton Jenkins
0.7502,8.64246,-17.67093,14.17591,3.63978,2.72001,5.98007,22.64006,1.92008,Elijah Wilkinson
0.42205,8.64202,-18.34639,13.47026,3.64122,2.72123,5.97829,22.59697,1.92497,Eric Fisher
0.62302,8.64279,-18.21487,13.66648,3.64096,2.72098,5.98054,22.42296,1.92208,Garett Bolles
1.0248,8.64283,-17.31025,14.51949,3.64207,2.72191,5.97773,22.56531,1.92326,George Fant
0.54385,8.64077,-17.99633,13.85816,3.64011,2.72035,5.98034,22.34724,1.91854,Germain Ifedi
0.48728,8.64342,-18.26663,13.57339,3.64102,2.72101,5.97881,22.05399,1.91988,Geron Christian
1.02956,8.64066,-17.55578,14.24659,3.64082,2.72094,5.97705,22.93891,1.92362,Isaiah Wynn
0.51396,8.64074,-18.15327,13.67043,3.6405,2.72067,5.9795,22.23778,1.92531,Jack Conklin
1.15752,8.64242,-17.52703,14.25677,3.63884,2.71922,5.98379,22.54712,1.9165,Jack Driscoll
0.45142,8.64422,-18.27741,13.58034,3.64178,2.72162,5.98051,22.13455,1.92408,Jake Matthews
0.38506,8.64255,-18.33028,13.48923,3.64135,2.72132,5.98143,22.1699,1.92663,James Hudson
0.60064,8.6437,-18.17748,13.66255,3.64203,2.72184,5.97762,22.3864,1.91958,James Hurst
0.54689,8.64283,-18.04558,13.7748,3.64103,2.72104,5.97794,22.50189,1.92071,Jason Peters
0.67534,8.64217,-18.0615,13.79578,3.64131,2.7213,5.97818,22.74907,1.91985,Jawaan Taylor
0.65669,8.64707,-18.07732,13.81446,3.64386,2.72325,5.9768,21.89953,1.9192,Jaylon Moore
0.72786,8.64267,-18.1739,13.68407,3.64133,2.7213,5.97962,22.32135,1.92322,Jedrick Wills
0.9172,8.64101,-17.79852,14.03936,3.6406,2.72075,5.97859,22.72567,1.92431,Jesse Davis
0.7166,8.64509,-17.65962,14.23094,3.64187,2.72166,5.97737,22.43125,1.90655,Joe Haeg
0.80073,8.63987,-17.78286,14.06923,3.63977,2.72009,5.98012,22.56731,1.92128,Jonah Williams
0.92438,8.6418,-17.7346,14.13687,3.64042,2.72057,5.98173,22.60223,1.92659,Jordan Mailata
0.32787,8.644,-18.24501,13.58285,3.64227,2.72203,5.97714,21.92891,1.9115,Josh Jones
0.69303,8.64275,-17.78814,14.04599,3.64136,2.72132,5.97903,22.46076,1.92295,Julien Davenport
0.53138,8.64134,-18.1906,13.6369,3.64076,2.72087,5.97824,22.49602,1.92238,Justin Herron
0.48577,8.64063,-18.4058,13.45299,3.64038,2.72058,5.9777,22.45688,1.92358,Justin Murray
0.73926,8.64096,-17.5759,14.26954,3.64099,2.72107,5.97857,22.82148,1.92606,Kaleb McGary
0.56764,8.64259,-18.03783,13.80665,3.64121,2.7212,5.9819,22.4271,1.92493,Kelvin Beachum
0.79358,8.64172,-17.85277,13.98242,3.63974,2.72,5.98059,22.40128,1.91606,Kendall Lamm
0.86027,8.6421,-17.89701,13.93644,3.64111,2.72113,5.97924,22.58317,1.92524,Kolton Miller
0.6915,8.64556,-18.22707,13.6427,3.64238,2.72206,5.9785,22.39237,1.92241,La'el Collins
0.78543,8.64638,-17.92795,13.94349,3.64213,2.72183,5.98024,22.76885,1.92075,Lane Johnson
1.03851,8.64219,-17.28921,14.59106,3.64111,2.72113,5.98084,22.08373,1.9214,Laremy Tunsil
0.71165,8.64122,-17.99465,13.82347,3.64032,2.7205,5.97818,22.39483,1.92302,Liam Eichenberg
0.67535,8.64175,-17.73071,14.1491,3.64098,2.72104,5.97748,22.63062,1.92179,Lucas Niang
0.76748,8.64313,-18.04589,13.81363,3.64115,2.72113,5.98379,22.44483,1.92076,Marcus Cannon
0.70857,8.64326,-17.95122,13.86468,3.64201,2.72185,5.97943,22.06938,1.92397,Matt Nelson
0.71303,8.6443,-17.80518,14.01406,3.64186,2.72168,5.97862,22.09783,1.9189,Matt Peart
0.34182,8.64207,-18.3968,13.46659,3.64083,2.7209,5.98203,22.55915,1.92374,Matt Pryor
